depth,Year ,BPice,calB,Piceerr,ca,lBPgas,ca,
1245.75,87988.1,0,1708.89,84789.5,,1767.8,6 0.0180,0.5867  64.37
1247.4,88144.2,0,1712.61,84861.3,,1790.6,2 0.0174,0.5859  63.03
1249.05,88305.8,0,1715.26,85059.8,,1756.6,1 0.0177,0.5846  62.91
1250.7,88465,0,1695.86,85204.7,,1760,1 0.0176,0.5840  63.12
1252.35,88625.5,0,1689.67,85330.3,,1732.5,8 0.0182,0.5832  63.56
1254,88781.1,0,1693.65,85444,,1754,8 0.0175,0.5824  61.81
1255.65,88943.2,0,1690.64,85666.5,,1749,5 0.0175,0.5813  61.81
1257.3,89105.3,0,1655.62,85811.4,,1694.6,8 0.0178,0.5805  61.35
1258.95,89264.7,0,1627.7,85975.1,,1735.3,1 0.0188,0.5798  62.50
1260.6,89415.8,0,1618.55,86057,,1709.7,1 0.0191,0.5787  61.12
1262.25,89565.3,0,1649.81,86271.6,,1701.4,4 0.0178,0.5779  61.00
1263.9,89726,0,1619.51,86423.8,,1699,5 0.0185,0.5773  60.86
1265.55,89880.1,0,1602.87,86579.3,,1655.2,6 0.0197,0.5767  59.73
1267.2,90025.4,0,1596,86783.6,,1651.7,9 0.0187,0.5758  60.59
1268.85,90178.8,0,1601.34,86886.6,,1664.7,9 0.0189,0.5751  60.27
1270.5,90330.6,0,1586.93,87052.7,,1680.6,1 0.0194,0.5742  59.98
1272.15,90478.7,0,1586.21,87221.2,,1658.3,7 0.0199,0.5732  59.45
1273.8,90623.6,0,1589.74,87408.6,,1657.1,6 0.0190,0.5726  58.53
1275.45,90775.3,0,1597.29,87610.9,,1701.9,8 0.0188,0.5719  60.08
1277.1,90929.1,0,1616.28,87685.1,,1776.8,6 0.0186,0.5716  59.43
1278.75,91084.5,0,1596.34,87886.3,,1706.3,2 0.0174,0.5711  58.27
1280.4,91250.4,0,1584.97,88117.9,,1712.1,8 0.0190,0.5702  56.98
1282.05,91402.5,0,1594.36,88354.9,,1716,7 0.0190,0.5685  57.19
1283.7,91555.1,0,1592.87,88512.3,,1687.1,8 0.0182,0.5669  56.84
1285.35,91715.3,0,1583.63,88699,,1691.2,9 0.0179,0.5653  55.98
1287,91878.1,0,1582.24,88914,,1697.4,8 0.0191,0.5649  56.97
1288.65,92031.1,0,1579.64,89023.4,,1671.8,6 0.0184,0.5641  56.26
1290.3,92190.2,0,1562.42,89227.4,,1631.4,0 0.0191,0.5632  56.02
1291.95,92343.9,0,1555.96,89397.5,,1614.5,3 0.0199,0.5620  55.85
1293.6,92491.6,0,1567.6,89561.6,,1650.5,4 0.0193,0.5612  56.49
1295.25,92644.2,0,1553.67,89692,,1624.7,1 0.0204,0.5599  57.26
1296.9,92789,0,1559.87,89814.2,,1605.9,9 0.0204,0.5587  56.03
1298.55,92934.1,0,1565.53,90029.2,,1595.8,2 0.0207,0.5578  55.80
1300.2,93076.9,0,1571.71,90199.6,,1602.1,1 0.0210,0.5567  57.31
1301.85,93217.8,0,1585.74,90279.7,,1587.4,3 0.0202,0.5556  56.85
1303.5,93365.1,0,1584.02,90457.4,,1585.6,9 0.0205,0.5545  55.06
1305.15,93510.5,0,1577.95,90698.9,,1591.5,8 0.0212,0.5532  55.73
1306.8,93650.9,0,1582.7,90823.6,,1600.9,0 0.0213,0.5520  56.71
1308.45,93791.4,0,1583.44,90933.6,,1616.9,3 0.0203,0.5509  54.82
1310.1,93938.9,0,1580.25,91200.1,,1580.5,8 0.0210,0.5497  54.82
1311.75,94081.7,0,1579.48,91362.5,,1594.7,6 0.0208,0.5486  54.02
1313.4,94226.1,0,1581.47,91561.3,,1592.8,1 0.0211,0.5474  52.02
1315.05,94368.7,0,1586.98,91836.1,,1576.4,2 0.0206,0.5463  52.94
1316.7,94515,0,1596.88,91950.6,,1592.2,8 0.0203,0.5451  53.50
1318.35,94663.9,0,1604.48,92082.7,,1571.5,4 0.0201,0.5441  52.32
1320,94814.5,0,1605.9,92305.1,,1552.6,6 0.0190,0.5433  51.70
1321.65,94974.3,0,1572.65,92488.3,,1568.2,0 0.0227,0.5427  52.92
1323.3,95108.5,0,1581.82,92582,,1551,3 0.0217,0.5422  51.95
1324.95,95248.8,0,1602.02,92778.7,,1559.3,6 0.0206,0.5416  52.38
1326.6,95396.3,0,1610.35,92906.5,,1565.6,1 0.0191,0.5410  53.02
1328.25,95555.7,0,1644.55,93022.2,,1565.3,0 0.0189,0.5405  52.44
1329.9,95716.8,0,1642.49,93192.6,,1585.2,6 0.0191,0.5401  52.88
1331.55,95877.1,0,1648.41,93319.5,,1587.6,8 0.0191,0.5396  53.29
1333.2,96036.8,0,1663.86,93448.1,,1577.3,5 0.0196,0.5394  53.58
1334.85,96193.2,0,1695.58,93578.4,,1578.6,0 0.0189,0.5388  53.65
1336.5,96355.3,0,1703.27,93718.6,,1586.5,1 0.0198,0.5384  53.06
1338.15,96510.1,0,1705.6,93892.7,,1579.1,6 0.0187,0.5381  53.90
1339.8,96674,0,1689.17,93999.5,,1581.6,8 0.0186,0.5378  54.44
1341.45,96838.6,0,1670.62,94118.5,,1578.5,0 0.0190,0.5375  54.81
1343.1,96999.9,0,1669.47,94246.6,,1582,4 0.0192,0.5372  54.20
1344.75,97160.1,0,1672.91,94420.5,,1589,8 0.0187,0.5369  55.39
1346.4,97324.4,0,1649.16,94511.4,,1596.7,1 0.0194,0.5367  55.53
1348.05,97482.7,0,1651.73,94654.5,,1603.2,0 0.0199,0.5366  56.24
1349.7,97637.2,0,1660.02,94771.1,,1619.1,0 0.0194,0.5365  56.14
1351.35,97795.9,0,1635.78,94933.5,,1569.7,2 0.0193,0.5366  56.26
1353,97954.9,0,1652.03,95068.5,,1579.4,3 0.0206,0.5367  56.25
1354.65,98104.4,0,1630.5,95207.2,,1587.7,2 0.0193,0.5366  55.51
1356.3,98263.6,0,1623.7,95345.1,,1608.2,9 0.0207,0.5368  59.47
1357.95,98412.3,0,1623.38,95388.4,,1635.1,8 0.0205,0.5372  58.85
1359.6,98562.4,0,1611.66,95529.8,,1645,1 0.0204,0.5381  58.52
1361.25,98712.6,0,1623.27,95703.1,,1641.9,8 0.0216,0.5387  57.70
1362.9,98854.1,0,1642.61,95903.1,,1649.3,7 0.0203,0.5388  58.40
1364.55,99004.9,0,1654.01,96026,,1661.4,8 0.0208,0.5402  59.25
1366.2,99151.8,0,1679.19,96130.5,,1684.5,6 0.0210,0.5398  60.22
1367.85,99297.3,0,1681.59,96242.1,,1704.1,7 0.0203,0.5413  61.39
1369.5,99447.6,0,1675.74,96332.3,,1702.9,2 0.0210,0.5414  60.62
1371.15,99592.7,0,1675.06,96528.1,,1705.8,7 0.0220,0.5414  61.82
1372.8,99731.4,0,1683.7,96627.7,,1694.5,3 0.0225,0.5417  61.01
1374.45,99866.9,0,1697.63,96833.6,,1670.6,6 0.0220,0.5420  60.26
1376.1,100005,0,1703.77,97032.8,,1669.2,3 0.0225,0.5420  61.15
1377.75,100140,0,1719.15,97145.9,,1675,8 0.0231,0.5419  61.04
1379.4,100272,0,1738,97316.6,,1649,4 0.0232,0.5423  60.60
1381.05,100403,0,1739.36,97495,,1651.9,3 0.0235,0.5426  61.06
1382.7,100533,0,1729.55,97625.2,,1661.9,6 0.0231,0.5425  60.93
1384.35,100664,0,1711.62,97790.4,,1635.2,2 0.0237,0.5424  60.19
1386,100793,0,1706.88,97986.5,,1655.2,6 0.0230,0.5419  60.38
1387.65,100925,0,1677.24,98131.5,,1624.8,1 0.0228,0.5413  60.18
1389.3,101059,0,1651.29,98301.7,,1623.3,8 0.0246,0.5407  60.17
1390.95,101183,0,1677.28,98454.4,,1623.3,7 0.0256,0.5409  60.00
1392.6,101302,0,1683.55,98611.8,,1606.3,1 0.0236,0.5403  60.13
1394.25,101432,0,1682.45,98756.3,,1630.6,4 0.0232,0.5392  60.69
1395.9,101564,0,1687.26,98879.5,,1645.7,2 0.0234,0.5392  61.89
1397.55,101694,0,1684.52,98971.2,,1649.9,9 0.0229,0.5382  62.94
1399.2,101828,0,1683.34,99074.3,,1662.2,9 0.0230,0.5374  63.91
1400.85,101961,0,1684.16,99178.5,,1685,2 0.0218,0.5366  63.45
1402.5,102102,0,1662.55,99352.3,,1679.9,9 0.0224,0.5354  63.12
1404.15,102240,0,1656.09,99523.1,,1672.3,7 0.0220,0.5343  62.67
1405.8,102380,0,1656.93,99690.9,,1678.8,5 0.0213,0.5330  62.61
1407.45,102526,0,1667.22,99836.2,,1696.2,7 0.0211,0.5325  61.93
1409.1,102672,0,1682.48,100007,0,1703.8,5 0.0200,0.5319  61.37
1410.75,102828,0,1685.35,100169,0,1722.4,3 0.0186,0.5304  61.77
1412.4,102995,0,1679.82,100291,0,1740.8,1 0.0184,0.5292  62.77
1414.05,103164,0,1682.06,100386,0,1739.8,8 0.0192,0.5283  63.37
1415.7,103327,0,1693.08,100495,0,1736.6,1 0.0197,0.5273  63.46
1417.35,103486,0,1713.69,100627,0,1711.8,8 0.0194,0.5265  64.01
1419,103647,0,1737.17,100738,0,1711.1,0 0.0197,0.5258  64.57
1420.65,103806,0,1737.32,100848,0,1702.5,4 0.0198,0.5251  65.13
1422.3,103965,0,1747.94,100962,0,1665.2,3 0.0207,0.5240  65.73
1423.95,104117,0,1751.96,101075,0,1649,7 0.0207,0.5229  66.14
1425.6,104269,0,1768.57,101188,0,1678.4,9 0.0211,0.5216  66.42
1427.25,104419,0,1788.71,101303,0,1683.5,8 0.0198,0.5194  65.81
1428.9,104580,0,1790.2,101469,0,1682.1,3 0.0204,0.5178  65.59
1430.55,104736,0,1809.86,101618,0,1690.2,3 0.0207,0.5164  65.29
1432.2,104891,0,1792.35,101770,0,1678.8,6 0.0198,0.5142  64.97
1433.85,105052,0,1780.28,101928,0,1691,4 0.0211,0.5121  65.80
1435.5,105205,0,1757.85,102043,0,1667.2,7 0.0210,0.5104  65.90
1437.15,105359,0,1724.62,102187,0,1655.8,6 0.0215,0.5087  64.96
1438.8,105509,0,1705.06,102377,0,1656.6,6 0.0221,0.5067  64.45
1440.45,105657,0,1694.18,102556,0,1669.3,8 0.0231,0.5048  64.21
1442.1,105799,0,1724.86,102728,0,1688.7,3 0.0213,0.5030  62.37
1443.75,105953,0,1735.71,102992,0,1679.7,8 0.0209,0.5011  60.85
1445.4,106110,0,1765.81,103249,0,1683.1,8 0.0206,0.4992  59.71
1447.05,106271,0,1781.14,103476,0,1712,4 0.0200,0.4972  60.06
1448.7,106437,0,1781.26,103631,0,1737.5,6 0.0195,0.4952  60.92
1450.35,106608,0,1791.6,103761,0,1734.2,9 0.0196,0.4932  60.18
1452,106778,0,1822.06,103967,0,1748,7 0.0185,0.4912  59.04
1453.65,106960,0,1856.77,104182,0,1753.6,3 0.0178,0.4893  58.08
1455.3,107149,0,1888.85,104386,0,1788.4,0 0.0172,0.4874  57.36
1456.95,107346,0,1893.55,104589,0,1790.2,8 0.0168,0.4855  56.82
1458.6,107548,0,1881.9,104780,0,1815.6,8 0.0170,0.4834  56.52
1460.25,107749,0,1878.67,104962,0,1777.4,0 0.0168,0.4814  56.64
1461.9,107952,0,1837.79,105125,0,1782.5,6 0.0168,0.4797  57.96
1463.55,108157,0,1833.57,105228,0,1750.7,3 0.0177,0.4780  57.41
1465.2,108352,0,1805.15,105415,0,1713.5,2 0.0174,0.4763  55.59
1466.85,108551,0,1798.6,105650,0,1692.5,2 0.0182,0.4746  56.26
1468.5,108742,0,1788.81,105773,0,1722.8,1 0.0177,0.4730  57.04
1470.15,108940,0,1775.68,105899,0,1732.7,8 0.0181,0.4714  58.04
1471.8,109133,0,1758.7,106018,0,1739.2,8 0.0180,0.4700  60.10
1473.45,109328,0,1743.75,106092,0,1761.7,0 0.0180,0.4685  62.40
1475.1,109523,0,1735.37,106156,0,1775.8,6 0.0177,0.4670  62.16
1476.75,109723,0,1728.2,106338,0,1784.2,2 0.0180,0.4659  61.76
1478.4,109920,0,1723.69,106533,0,1778.3,8 0.0177,0.4646  61.29
1480.05,110121,0,1721.66,106735,0,1813.9,0 0.0173,0.4634  61.46
1481.7,110327,0,1722.06,106913,0,1847,6 0.0172,0.4621  61.94
1483.35,110534,0,1724.65,107083,0,1882.3,4 0.0171,0.4610  62.31
1485,110743,0,1729.58,107265,0,1900.3,9 0.0170,0.4593  62.09
1486.65,110955,0,1735.66,107491,0,1881.2,2 0.0168,0.4577  61.76
1488.3,111170,0,1736.53,107722,0,1883.9,6 0.0168,0.4558  61.43
1489.95,111386,0,1727.02,107958,0,1836.6,5 0.0174,0.4542  61.24
1491.6,111594,0,1730.76,108185,0,1833.1,4 0.0181,0.4526  61.19
1493.25,111795,0,1736.65,108395,0,1797.9,2 0.0172,0.4510  60.83
1494.9,112008,0,1723.78,108623,0,1798.9,2 0.0175,0.4494  60.61
1496.55,112218,0,1719.9,108839,0,1780.6,3 0.0185,0.4480  61.05
1498.2,112417,0,1722.34,109021,0,1771.6,6 0.0177,0.4468  61.09
1499.85,112625,0,1713.17,109222,0,1748.3,7 0.0182,0.4458  59.60
1501.5,112829,0,1699.45,109503,0,1736,8 0.0195,0.4447  59.02
1503.15,113020,0,1695.82,109741,0,1727.5,2 0.0198,0.4436  60.21
1504.8,113207,0,1697.36,109883,0,1724.2,1 0.0206,0.4427  60.95
1506.45,113388,0,1698.79,110050,0,1721.8,6 0.0201,0.4418  61.16
1508.1,113574,0,1699.25,110249,0,1721.2,9 0.0204,0.4410  60.63
1509.75,113757,0,1682.69,110491,0,1723.6,9 0.0204,0.4404  60.24
1511.4,113941,0,1685.69,110727,0,1729,6 0.0223,0.4402  60.51
1513.05,114109,0,1678.44,110925,0,1735.2,1 0.0216,0.4408  60.60
1514.7,114282,0,1675.89,111129,0,1738.1,9 0.0225,0.4408  61.01
1516.35,114448,0,1678.89,111321,0,1730.4,2 0.0226,0.4402  61.66
1518,114614,0,1678.19,111500,0,1720.9,5 0.0221,0.4395  62.15
1519.65,114784,0,1680.22,111683,0,1740,8 0.0227,0.4388  62.21
1521.3,114950,0,1679.23,111892,0,1733.6,8 0.0228,0.4381  62.16
1522.95,115116,0,1677.27,112112,0,1714.8,7 0.0229,0.4375  61.95
1524.6,115281,0,1676.84,112332,0,1725.3,8 0.0231,0.4368  61.22
1526.25,115445,0,1668.64,112582,0,1716.4,2 0.0233,0.4362  60.99
1527.9,115607,0,1670.8,112805,0,1699.6,6 0.0249,0.4355  62.08
1529.55,115759,0,1663.44,112946,0,1698.4,5 0.0244,0.4349  62.68
1531.2,115915,0,1658.05,113110,0,1692.6,0 0.0251,0.4341  63.28
1532.85,116066,0,1653.63,113271,0,1700.4,6 0.0256,0.4334  63.64
1534.5,116215,0,1650.79,113441,0,1698,4 0.0255,0.4327  63.91
1536.15,116365,0,1652.65,113619,0,1699.6,5 0.0267,0.4319  64.40
1537.8,116508,0,1660.05,113783,0,1679.5,0 0.0274,0.4311  64.64
1539.45,116648,0,1657.44,113960,0,1686.4,3 0.0265,0.4302  64.64
1541.1,116793,0,1656.47,114135,0,1677,8 0.0274,0.4294  64.90
1542.75,116933,0,1657.34,114300,0,1675.7,4 0.0274,0.4286  64.81
1544.4,117074,0,1651.84,114476,0,1679.4,8 0.0271,0.4279  64.34
1546.05,117216,0,1649.97,114668,0,1677.7,0 0.0291,0.4271  65.07
1547.7,117349,0,1655.51,114811,0,1680.7,9 0.0283,0.4261  65.70
1549.35,117485,0,1654.51,114956,0,1679.1,6 0.0272,0.4251  65.03
1551,117628,0,1657.44,115156,0,1676.8,0 0.0288,0.4242  64.95
1552.65,117763,0,1658.42,115330,0,1676.8,5 0.0275,0.4232  65.31
1554.3,117905,0,1655.61,115485,0,1665.7,6 0.0279,0.4224  66.00
1555.95,118045,0,1652.87,115623,0,1671.4,7 0.0284,0.4215  66.41
1557.6,118182,0,1651.51,115765,0,1663.1,2 0.0300,0.4207  65.23
1559.25,118313,0,1652.57,115971,0,1656.1,7 0.0291,0.4199  63.63
1560.9,118448,0,1654.76,116187,0,1650.4,3 0.0286,0.4189  62.63
1562.55,118586,0,1654.57,116379,0,1652.8,3 0.0283,0.4180  64.09
1564.2,118725,0,1653.46,116474,0,1655.6,6 0.0292,0.4172  66.72
1565.85,118861,0,1651.63,116526,0,1662.4,2 0.0298,0.4163  66.93
1567.5,118994,0,1650.1,116664,0,1656.7,7 0.0310,0.4152  66.84
1569.15,119122,0,1656.97,116818,0,1656.4,1 0.0293,0.4141  66.40
1570.8,119258,0,1656.81,116980,0,1657.7,2 0.0290,0.4130  66.14
1572.45,119395,0,1654.34,117137,0,1647.8,7 0.0302,0.4118  66.06
1574.1,119528,0,1649.63,117284,0,1651.7,8 0.0316,0.4111  66.61
1575.75,119655,0,1655.82,117404,0,1658.6,9 0.0302,0.4104  66.92
1577.4,119788,0,1659.33,117536,0,1651.9,1 0.0300,0.4095  67.34
1579.05,119923,0,1661.33,117667,0,1659.7,9 0.0300,0.4083  67.07
1580.7,120057,0,1658,117821,0,1657.6,0 0.0311,0.4069  66.48
1582.35,120188,0,1657.48,117990,0,1653.6,1 0.0313,0.4058  65.74
1584,120318,0,1655.92,118159,0,1651.3,2 0.0321,0.4047  65.08
1585.65,120445,0,1659.4,118318,0,1652.6,1 0.0314,0.4038  64.26
1587.3,120575,0,1660.27,118486,0,1655.3,8 0.0309,0.4030  64.41
1588.95,120708,0,1656.77,118623,0,1654.2,7 0.0318,0.4024  65.27
1590.6,120836,0,1656.09,118736,0,1653.3,7 0.0329,0.4027  66.09
1592.25,120961,0,1660.27,118843,0,1652.2,6 0.0323,0.4026  66.51
1593.9,121088,0,1667.45,118963,0,1647.9,7 0.0317,0.4024  66.58
1595.55,121218,0,1672.7,119091,0,1656.9,2 0.0307,0.4020  66.29
1597.2,121351,0,1672.3,119238,0,1657.1,4 0.0305,0.4022  65.89
1598.85,121486,0,1670,119387,0,1654.6,9 0.0308,0.4015  66.02
1600.5,121619,0,1666.04,119519,0,1649.2,0 0.0330,0.4015  65.89
1602.15,121744,0,1672.25,119651,0,1655.7,1 0.0320,0.4017  64.88
1603.8,121872,0,1673.05,119816,0,1660,4 0.0319,0.4007  65.05
1605.45,122001,0,1670.48,119950,0,1661.6,6 0.0326,0.4003  65.97
1607.1,122127,0,1669.84,120057,0,1658,0 0.0329,0.4004  66.14
1608.75,122253,0,1672.36,120182,0,1657.5,9 0.0332,0.4005  66.37
1610.4,122377,0,1677.77,120303,0,1655.4,9 0.0328,0.4007  67.10
1612.05,122502,0,1676.01,120407,0,1658.5,7 0.0317,0.4008  67.02
1613.7,122632,0,1679.39,120539,0,1661.4,6 0.0327,0.4008  67.08
1615.35,122758,0,1677.65,120668,0,1657.1,9 0.0319,0.4007  66.44
1617,122887,0,1678.89,120819,0,1655.5,8 0.0328,0.4002  66.53
1618.65,123013,0,1676.4,120944,0,1659.3,6 0.0325,0.4001  67.23
1620.3,123140,0,1675.24,121050,0,1665,4 0.0341,0.3995  67.56
1621.95,123261,0,1678.22,121171,0,1672.7,1 0.0341,0.3986  67.17
1623.6,123382,0,1681.34,121321,0,1672.6,8 0.0333,0.3986  66.85
1625.25,123507,0,1678.65,121466,0,1670.8,7 0.0331,0.3986  66.78
1626.9,123632,0,1673.73,121601,0,1664.9,5 0.0364,0.3982  67.35
1628.55,123746,0,1680.12,121712,0,1671.7,0 0.0361,0.3976  67.51
1630.2,123861,0,1696.08,121838,0,1673.8,5 0.0347,0.3974  67.46
1631.85,123980,0,1695.96,121969,0,1670.7,5 0.0318,0.3973  67.02
1633.5,124111,0,1696.29,122110,0,1669.5,4 0.0322,0.3972  66.88
1635.15,124240,0,1694.81,122240,0,1671.8,2 0.0322,0.3969  66.27
1636.8,124369,0,1695.75,122384,0,1678,8 0.0339,0.3964  66.22
1638.45,124492,0,1707.99,122514,0,1675.8,1 0.0317,0.3960  65.80
1640.1,124624,0,1710.7,122659,0,1680.1,9 0.0320,0.3954  65.55
1641.75,124754,0,1706.95,122796,0,1676.7,0 0.0320,0.3952  65.33
1643.4,124884,0,1708.97,122931,0,1679.9,5 0.0333,0.3948  65.45
1645.05,125010,0,1714.73,123056,0,1674.5,0 0.0324,0.3943  65.16
1646.7,125139,0,1727.76,123192,0,1675.7,0 0.0319,0.3938  64.87
1648.35,125271,0,1737.31,123324,0,1680.5,1 0.0304,0.3931  64.48
1650,125409,0,1743.25,123462,0,1682.4,6 0.0322,0.3931  64.57
1651.65,125539,0,1754.01,123584,0,1672.1,2 0.0323,0.3932  64.49
1653.3,125669,0,1763.2,123704,0,1676.1,3 0.0318,0.3931  65.57
1654.95,125801,0,1776.32,123789,0,1684.3,3 0.0324,0.3928  67.11
1656.6,125930,0,1797.44,123864,0,1696.5,5 0.0298,0.3924  66.61
1658.25,126071,0,1786.55,124001,0,1695.8,6 0.0322,0.3920  66.25
1659.9,126202,0,1771.69,124145,0,1696.4,3 0.0338,0.3915  65.63
1661.55,126327,0,1769.06,124296,0,1693.8,8 0.0355,0.3907  66.45
1663.2,126446,0,1770.34,124402,0,1696.5,7 0.0366,0.3899  67.95
1664.85,126561,0,1778.21,124485,0,1707.8,5 0.0367,0.3892  67.85
1666.5,126677,0,1782.09,124623,0,1710.7,1 0.0350,0.3886  67.49
1668.15,126799,0,1783.96,124768,0,1706.5,6 0.0355,0.3881  67.38
1669.8,126918,0,1792.98,124904,0,1709.3,7 0.0342,0.3876  66.21
1671.45,127043,0,1778.38,125067,0,1717.6,3 0.0367,0.3869  66.10
1673.1,127159,0,1775.38,125205,0,1737,2 0.0359,0.3860  66.68
1674.75,127278,0,1755.89,125326,0,1737.5,5 0.0356,0.3852  67.04
1676.4,127399,0,1747.2,125454,0,1746.3,8 0.0390,0.3841  66.20
1678.05,127509,0,1746.53,125615,0,1760.8,8 0.0395,0.3831  65.97
1679.7,127618,0,1745.03,125759,0,1767.1,2 0.0393,0.3821  65.63
1681.35,127728,0,1747.39,125905,0,1799.3,1 0.0382,0.3813  65.34
1683,127841,0,1742.38,126057,0,1788.1,6 0.0383,0.3803  65.12
1684.65,127954,0,1731.74,126201,0,1771.7,2 0.0411,0.3793  64.08
1686.3,128060,0,1727.84,126359,0,1768.3,9 0.0412,0.3785  63.69
1687.95,128166,0,1725.9,126491,0,1771.3,5 0.0418,0.3780  63.64
1689.6,128270,0,1726.43,126610,0,1782.9,4 0.0407,0.3776  63.32
1691.25,128378,0,1722.68,126739,0,1781.3,0 0.0400,0.3772  63.84
1692.9,128487,0,1721.4,126847,0,1786.1,5 0.0398,0.3768  66.03
1694.55,128597,0,1722.2,126909,0,1794.1,7 0.0386,0.3763  66.11
1696.2,128711,0,1723.89,127034,0,1778.6,2 0.0396,0.3757  65.64
1697.85,128822,0,1725.18,127166,0,1775.2,1 0.0393,0.3753  65.06
1699.5,128934,0,1730.55,127302,0,1751.7,6 0.0414,0.3749  64.98
1701.15,129040,0,1736.43,127424,0,1745.9,8 0.0373,0.3743  64.76
1702.8,129158,0,1736.56,127543,0,1746.7,5 0.0400,0.3738  65.70
1704.45,129268,0,1743.08,127631,0,1744.7,4 0.0396,0.3733  66.68
1706.1,129380,0,1749.73,127718,0,1747.7,6 0.0390,0.3730  66.83
1707.75,129493,0,1752.66,127829,0,1743.5,6 0.0372,0.3728  66.42
1709.4,129612,0,1753.69,127953,0,1731.7,7 0.0391,0.3726  66.38
1711.05,129726,0,1760.55,128061,0,1727.8,0 0.0380,0.3727  67.16
1712.7,129842,0,1767.76,128148,0,1725.5,2 0.0375,0.3726  68.49
1714.35,129960,0,1773.62,128222,0,1727,8 0.0372,0.3725  69.07
1716,130079,0,1780.94,128314,0,1725.8,5 0.0373,0.3726  69.22
1717.65,130198,0,1793.28,128418,0,1720.6,7 0.0359,0.3725  68.24
1719.3,130322,0,1802.83,128552,0,1722,9 0.0347,0.3724  67.96
1720.95,130450,0,1810.73,128672,0,1722.3,8 0.0342,0.3729  68.28
1722.6,130579,0,1821.38,128774,0,1726.3,8 0.0332,0.3736  68.43
1724.25,130712,0,1828.19,128878,0,1723.7,7 0.0316,0.3742  68.14
1725.9,130851,0,1836.3,128992,0,1737.6,7 0.0321,0.3750  67.35
1727.55,130988,0,1846.61,129122,0,1734.3,2 0.0316,0.3758  67.59
1729.2,131127,0,1857.2,129225,0,1740.7,1 0.0315,0.3767  68.33
1730.85,131266,0,1879.23,129313,0,1745.5,4 0.0311,0.3775  67.72
1732.5,131407,0,1910.02,129437,0,1753.3,4 0.0278,0.3784  66.66
1734.15,131564,0,1936.5,129578,0,1751.6,4 0.0277,0.3793  66.22
1735.8,131721,0,1965.85,129700,0,1758.9,4 0.0268,0.3802  66.27
1737.45,131883,0,1969.93,129810,0,1765.9,7 0.0254,0.3811  66.50
1739.1,132053,0,1984.57,129918,0,1772,5 0.0271,0.3820  66.48
1740.75,132212,0,2015.77,130033,0,1776.3,0 0.0257,0.3830  66.30
1742.4,132380,0,2043.98,130152,0,1788.1,6 0.0250,0.3838  67.04
1744.05,132552,0,2084.28,130249,0,1798.8,9 0.0237,0.3845  67.08
1745.7,132733,0,2121.15,130369,0,1805.3,8 0.0232,0.3854  66.76
1747.35,132917,0,2144.98,130502,0,1814.2,1 0.0229,0.3864  66.61
1749,133104,0,2122.04,130632,0,1826.3,5 0.0223,0.3871  66.41
1750.65,133295,0,2162.43,130770,0,1829.5,4 0.0237,0.3877  66.46
1752.3,133474,0,2169.69,130903,0,1840.6,7 0.0214,0.3882  65.85
1753.95,133673,0,2172.29,131059,0,1851.5,7 0.0219,0.3885  65.76
1755.6,133867,0,2196.89,131199,0,1863.1,1 0.0209,0.3886  64.89
1757.25,134070,0,2226.02,131367,0,1903.3,1 0.0203,0.3880  63.87
1758.9,134279,0,2265.76,131561,0,1935.9,2 0.0199,0.3874  62.81
1760.55,134493,0,2309.36,131762,0,1973.5,6 0.0193,0.3866  61.85
1762.2,134715,0,2377.03,131970,0,1967.3,2 0.0180,0.3858  60.85
1763.85,134952,0,2422.2,132176,0,2009.8,9 0.0168,0.3852  60.34
1765.5,135207,0,2412.34,132365,0,2040.5,0 0.0167,0.3846  60.22
1767.15,135463,0,2431.58,132546,0,2083,0 0.0169,0.3838  60.62
1768.8,135717,0,2494.16,132715,0,2118.7,8 0.0159,0.3830  60.22
1770.45,135989,0,2550.14,132921,0,2145.4,9 0.0146,0.3823  59.47
1772.1,136285,0,2527.41,133147,0,2116.5,8 0.0150,0.3815  59.03
1773.75,136572,0,2520.82,133358,0,2181.8,9 0.0147,0.3808  58.52
1775.4,136867,0,2550.51,133573,0,2159.3,4 0.0148,0.3800  58.17
1777.05,137160,0,2570.03,133791,0,2187.4,5 0.0144,0.3791  58.03
1778.7,137463,0,2589.95,134003,0,2213.5,7 0.0142,0.3783  58.01
1780.35,137771,0,2618.09,134217,0,2252.9,7 0.0137,0.3775  56.37
1782,138089,0,2688.86,134516,0,2314,5 0.0134,0.3766  55.16
1783.65,138416,0,2736.91,134812,0,2407.8,2 0.0124,0.3758  55.38
1785.3,138770,0,2735.07,135050,0,2432.3,0 0.0124,0.3750  55.92
1786.95,139124,0,2757.68,135282,0,2402.8,6 0.0126,0.3742  55.00
1788.6,139474,0,2768.77,135597,0,2452.7,1 0.0123,0.3735  54.40
1790.25,139835,0,2755.34,135904,0,2558.5,0 0.0123,0.3726  54.43
1791.9,140195,0,2770.43,136199,0,2529.3,9 0.0124,0.3717  52.56
1793.55,140552,0,2810.44,136619,0,2519.7,4 0.0119,0.3708  51.86
1795.2,140926,0,2812.86,136969,0,2563.1,5 0.0119,0.3699  51.92
1796.85,141301,0,2789.1,137269,0,2573.9,6 0.0119,0.3689  51.92
1798.5,141677,0,2800.28,137584,0,2599.9,1 0.0126,0.3680  52.06
1800.15,142031,0,2854.44,137894,0,2630,9 0.0124,0.3670  51.98
