bag,ztop,Year,Deuterium,temperature
1,0,-50,,218.3
2,0.55,-43.55977,,218.3
3,1.1,-37.44019,,218.3
4,1.65,-31.64156,,218.3
5,2.2,-24.55278,,218.3
6,2.75,-17.78422,,218.3
7,3.3,-11.01305,,218.3
8,3.85,-3.2703,,218.3
9,4.4,5.447842,,218.3
10,4.95,13.52999,,218.3
11,5.5,22.27284,,218.3
12,6.05,30.70987,,218.3
13,6.6,38.51757,-390.9,218.3
14,7.15,47.00211,-385.1,219.2
15,7.7,55.20552,-377.8,220.4
16,8.25,64.43646,-394.1,217.7
17,8.8,73.05573,-398.7,217
18,9.35,81.72349,-395.9,217.4
19,9.9,90.43857,-395.9,217.4
20,10.45,99.70485,-399.3,216.9
21,11,109.8195,-391.4,218.2
22,11.55,119.2176,-399.5,216.8
23,12.1,129.3916,-402.9,216.3
24,12.65,139.9534,-393.9,217.8
25,13.2,150.1377,-398.6,217
26,13.75,160.6797,-389.8,218.4
27,14.3,171.2088,-394.5,217.7
28,14.85,181.7194,-400.5,216.7
29,15.4,191.8325,-403.6,216.2
30,15.95,202.293,-393.1,217.9
31,16.5,212.5394,-410.9,215
32,17.05,223.471,-393.6,217.8
33,17.6,233.9967,-391.1,218.2
34,18.15,244.8395,-391.9,218.1
35,18.7,255.6953,-396.3,217.4
36,19.25,266.864,-397,217.3
37,19.8,277.9812,-404.7,216
38,20.35,289.4143,-398.2,217.1
39,20.9,301.1585,-395.2,217.6
40,21.45,312.545,-403.5,216.2
41,22,323.9099,-398.6,217
42,22.55,335.5896,-399.7,216.8
43,23.1,346.8579,-396,217.4
44,23.65,358.6178,-400.2,216.7
45,24.2,370.9679,-401.6,216.5
46,24.75,382.9111,-405.4,215.9
47,25.3,395.2021,-399,216.9
48,25.85,407.2843,-396.9,217.3
49,26.4,418.6733,-394.9,217.6
50,26.95,430.4257,-406.6,215.7
51,27.5,442.5554,-395.2,217.6
52,28.05,454.3007,-395.3,217.5
53,28.6,466.2551,-399.5,216.8
54,29.15,478.2794,-401,216.6
55,29.7,490.3924,-393.6,217.8
56,30.25,503.0865,-410.4,215
57,30.8,516.0368,-401.3,216.5
58,31.35,529.475,-398.3,217
59,31.9,542.6268,-388.5,218.7
60,32.45,555.8396,-391.9,218.1
61,33,568.3494,-400.8,216.6
62,33.55,580.9313,-387.7,218.8
63,34.1,593.5725,-401.4,216.5
64,34.65,606.2219,-401,216.6
65,35.2,619.1082,-387.3,218.9
66,35.75,631.65,-390.2,218.4
67,36.3,644.5452,-394.5,217.7
68,36.85,657.9103,-401.9,216.4
69,37.4,672.1189,-399.8,216.8
70,37.95,686.6481,-399.9,216.8
71,38.5,700.6882,-399.1,216.9
72,39.05,715.2436,-401.9,216.4
73,39.6,729.5808,-404.8,216
74,40.15,744.6373,-401.6,216.5
75,40.7,759.2383,-396.7,217.3
76,41.25,772.3893,-397.1,217.2
77,41.8,785.8553,-394.2,217.7
78,42.35,798.9567,-395.9,217.4
79,42.9,812.1401,-392.7,218
80,43.45,824.3588,-390.4,218.3
81,44,836.5675,-389,218.6
82,44.55,848.7663,-387,218.9
83,45.1,861.5453,-402.3,216.4
84,45.65,875.4421,-392.5,218
85,46.2,889.3285,-404.6,216
86,46.75,903.5693,-390.5,218.3
87,47.3,917.8998,-402.3,216.4
88,47.85,932.2836,-400.1,216.7
89,48.4,947.0249,-399.4,216.9
90,48.95,960.9822,-400.6,216.7
91,49.5,975.4282,-393.8,217.8
92,50.05,989.8635,-398.5,217
93,50.6,1004.288,-398.7,217
94,51.15,1018.508,-401.8,216.5
95,51.7,1032.268,-395.2,217.6
96,52.25,1046.723,-390.1,218.4
97,52.8,1060.862,-393.9,217.8
98,53.35,1075.176,-400.6,216.7
99,53.9,1089.481,-400.9,216.6
100,54.45,1104.135,-391.7,218.1
101,55,1118.228,-399.3,216.9
102,55.55,1132.48,-386.7,219
103,56.1,1146.385,-401.5,216.5
104,56.65,1160.21,-398.1,217.1
105,57.2,1173.811,-390.4,218.3
106,57.75,1187.738,-389.8,218.4
107,58.3,1201.327,-390.7,218.3
108,58.85,1215.092,-399.3,216.9
109,59.4,1229.273,-392.5,218
110,59.95,1243.449,-393.8,217.8
111,60.5,1258.053,-394.4,217.7
112,61.05,1272.603,-397,217.3
113,61.6,1287.152,-397.8,217.1
114,62.15,1302.045,-388.6,218.6
115,62.7,1315.817,-394.7,217.6
116,63.25,1330.151,-390.6,218.3
117,63.8,1344.162,-397,217.3
118,64.35,1357.836,-386.6,219
119,64.9,1371.821,-390.6,218.3
120,65.45,1385.811,-397,217.3
121,66,1399.806,-396.1,217.4
122,66.55,1415.617,-398.9,216.9
123,67.1,1431.53,-400.2,216.7
124,67.65,1447.451,-398.7,217
125,68.2,1462.64,-389.7,218.5
126,68.75,1478.122,-401.6,216.5
127,69.3,1493.617,-397.9,217.1
128,69.85,1509.198,-399.2,216.9
129,70.4,1524.834,-397.6,217.2
130,70.95,1540.486,-390.5,218.3
131,71.5,1556.402,-401.5,216.5
132,72.05,1571.892,-395.7,217.5
133,72.6,1587.755,-394.5,217.7
134,73.15,1603.929,-402.9,216.3
135,73.7,1620.539,-401,216.6
136,74.25,1637.175,-391.5,218.2
137,74.8,1653.893,-403.4,216.2
138,75.35,1669.896,-393.4,217.8
139,75.9,1685.574,-393.8,217.8
140,76.45,1701.843,-400.8,216.6
141,77,1719.291,-399.3,216.9
142,77.55,1736.397,-396.6,217.3
143,78.1,1753.243,-395.3,217.5
144,78.65,1769.379,-392.6,218
145,79.2,1785.877,-404.4,216
146,79.75,1802.735,-394.4,217.7
147,80.3,1820.513,-402.2,216.4
148,80.85,1837.917,-401.9,216.4
149,81.4,1854.906,-393.8,217.8
150,81.95,1871.526,-402.3,216.4
151,82.5,1888.512,-385.1,219.2
152,83.05,1905.122,-395.9,217.4
153,83.6,1921.089,-395.8,217.4
154,84.15,1936.711,-398.2,217
155,84.7,1953.737,-394.8,217.6
156,85.25,1970.831,-397.7,217.1
157,85.8,1987.929,-400.3,216.7
158,86.35,2005.404,-402.4,216.4
159,86.9,2023.194,-396,217.4
160,87.45,2041.366,-401.4,216.5
161,88,2058.349,-386.1,219.1
162,88.55,2075.403,-400.1,216.7
163,89.1,2092.459,-400.3,216.7
164,89.65,2109.946,-393.2,217.9
165,90.2,2127.17,-399.7,216.8
166,90.75,2144.764,-397.9,217.1
167,91.3,2162.928,-402,216.4
168,91.85,2181.506,-398.7,217
169,92.4,2199.454,-398.6,217
170,92.95,2216.423,nan,217.6
171,93.5,2233.749,-390.6,218.3
172,94.05,2250.719,-394,217.7
173,94.6,2268.024,-397.9,217.1
174,95.15,2285.687,-394.8,217.6
175,95.7,2304.155,-408.2,215.4
176,96.25,2324.155,-404.3,216
177,96.8,2344.158,-399.6,216.8
178,97.35,2363.171,-400.8,216.6
179,97.9,2381.69,-401.5,216.5
180,98.45,2400.787,-407.7,215.5
181,99,2420.419,-400.5,216.7
182,99.55,2440.054,-395.8,217.4
183,100.1,2459.158,-399.7,216.8
184,100.65,2477.49,-399.6,216.8
185,101.2,2496.178,-394.8,217.6
186,101.75,2513.759,-398.5,217
187,102.3,2530.991,-390.2,218.4
188,102.85,2548.615,-396.4,217.3
189,103.4,2566.453,-392.7,218
190,103.95,2584.294,-400.4,216.7
191,104.5,2601.936,-393.5,217.8
192,105.05,2619.218,-390.6,218.3
193,105.6,2636.503,-395.2,217.5
194,106.15,2654.309,-396.9,217.3
195,106.7,2673.049,-399.1,216.9
196,107.25,2691.426,-396.9,217.3
197,107.8,2709.281,-401,216.6
198,108.35,2727.333,-387.9,218.7
199,108.9,2745.035,-390.3,218.4
200,109.45,2761.538,-390.8,218.3
201,110,2777.985,-390.2,218.4
202,110.55,2794.765,-395.6,217.5
203,111.1,2811.569,-387.7,218.8
204,111.65,2828.377,-388.9,218.6
205,112.2,2845.188,-388.9,218.6
206,112.75,2863.372,-395.4,217.5
207,113.3,2880.88,-399.5,216.8
208,113.85,2898.493,-401.7,216.5
209,114.4,2916.62,-392.2,218
210,114.95,2935.475,-393.9,217.8
211,115.5,2954.216,-397.7,217.1
212,116.05,2973.25,-401.1,216.6
213,116.6,2992.287,-395.7,217.5
214,117.15,3010.929,-398.7,217
215,117.7,3029.481,-395,217.6
216,118.25,3047.953,-394.7,217.6
217,118.8,3065.873,-395.8,217.4
218,119.35,3083.797,-391.8,218.1
219,119.9,3101.805,nan,218.4
220,120.45,3119.333,-387.9,218.7
221,121,3136.864,-404.4,216
222,121.55,3156.241,-401.1,216.6
223,122.1,3177.139,-403.4,216.2
224,122.65,3198.229,-391.8,218.1
225,123.2,3217.67,-400.5,216.7
226,123.75,3237.115,-406.2,215.7
227,124.3,3257.018,-392.7,217.9
228,124.85,3276.601,-400,216.7
229,125.4,3296.536,-401.9,216.4
230,125.95,3315.728,-391.3,218.2
231,126.5,3335.292,-399.8,216.8
232,127.05,3355.269,-404.2,216
233,127.6,3375.293,-395.6,217.5
234,128.15,3395.691,-397.2,217.2
235,128.7,3415.309,-398.2,217
236,129.25,3434.932,-396.6,217.3
237,129.8,3454.226,-395.6,217.5
238,130.35,3472.768,-392.7,217.9
239,130.9,3491.67,-401.8,216.4
240,131.45,3510.318,-387.3,218.8
241,132,3528.914,-394.6,217.6
242,132.55,3547.602,-397.2,217.2
243,133.1,3566.928,-394.5,217.6
244,133.65,3586.616,-399.5,216.8
245,134.2,3605.297,-389.9,218.4
246,134.75,3623.431,-390.8,218.3
247,135.3,3641.569,-394.4,217.7
248,135.85,3659.503,-391.7,218.1
249,136.4,3677.719,-389.2,218.5
250,136.95,3695.606,-401.6,216.5
251,137.5,3713.807,-387.2,218.9
252,138.05,3732.356,-387.8,218.8
253,138.6,3750.828,-404.9,215.9
254,139.15,3770.297,-388.9,218.6
255,139.7,3789.41,-394.9,217.6
256,140.25,3808.621,-393.8,217.8
257,140.8,3828.24,-399.6,216.8
258,141.35,3847.506,-400.9,216.6
259,141.9,3867.16,-391,218.2
260,142.45,3886.813,-396.1,217.4
261,143,3906.291,-398.5,217
262,143.55,3926.29,-396.5,217.3
263,144.1,3946.279,-397.8,217.1
264,144.65,3965.551,-392.9,217.9
265,145.2,3985.184,-398.7,216.9
266,145.75,4004.712,-398.9,216.9
267,146.3,4023.769,-390.6,218.3
268,146.85,4043.189,-390.4,218.3
269,147.4,4062.473,-402.3,216.4
270,147.95,4081.742,-389.9,218.4
271,148.5,4100.982,-390.3,218.3
272,149.05,4119.779,-398.8,216.9
273,149.6,4138.935,-397.8,217.1
274,150.15,4158.16,-394.9,217.6
275,150.7,4177.41,-392.2,218
276,151.25,4196.69,-404.7,216
277,151.8,4216.299,-391.2,218.2
278,152.35,4235.912,-387.3,218.8
279,152.9,4254.808,-396.4,217.3
280,153.45,4273.049,-387,218.9
281,154,4291.295,-398.1,217
282,154.55,4311.389,-401.4,216.5
283,155.1,4331.952,-395.2,217.5
284,155.65,4352.055,-393.4,217.8
285,156.2,4371.293,-394.9,217.6
286,156.75,4390.536,-397.1,217.2
287,157.3,4410.467,-400.6,216.6
288,157.85,4430.602,-393,217.9
289,158.4,4450.283,-387.1,218.9
290,158.95,4468.793,-397.5,217.1
291,159.5,4487.643,-390.4,218.3
292,160.05,4506.99,-399.3,216.8
293,160.6,4526.883,-397.5,217.1
294,161.15,4546.795,-399.9,216.7
295,161.7,4566.824,-395,217.6
296,162.25,4586.851,-394.1,217.7
297,162.8,4606.959,-393.4,217.8
298,163.35,4626.514,-398.4,217
299,163.9,4646.086,-395.1,217.5
300,164.45,4665.821,-396,217.4
301,165,4685.918,-397.3,217.2
302,165.55,4705.503,-389.3,218.5
303,166.1,4724.971,-399.6,216.8
304,166.65,4744.443,-402.3,216.3
305,167.2,4765.613,-396.7,217.3
306,167.75,4786.405,-397.2,217.2
307,168.3,4807.201,-402,216.4
308,168.85,4828.386,-396.9,217.2
309,169.4,4848.799,-390.9,218.2
310,169.95,4867.695,-393.4,217.8
311,170.5,4886.938,-395.9,217.4
312,171.05,4906.053,-395.1,217.5
313,171.6,4925.329,-392.7,217.9
314,172.15,4944.966,-389,218.5
315,172.7,4964.337,-397.9,217.1
316,173.25,4983.706,-398.9,216.9
317,173.8,5003.803,-396.8,217.2
318,174.35,5023.971,-396.6,217.3
319,174.9,5044.142,-392.7,217.9
320,175.45,5064.538,-400.6,216.6
321,176,5084.561,-396.3,217.3
322,176.55,5104.659,-395.6,217.4
323,177.1,5124.103,-393.3,217.8
324,177.65,5143.911,-391.4,218.1
325,178.2,5162.511,-391.3,218.2
326,178.75,5181.065,-393.2,217.8
327,179.3,5200.425,-397.6,217.1
328,179.85,5220.527,-395.8,217.4
329,180.4,5241.007,-403.1,216.2
330,180.95,5261.212,-396.3,217.3
331,181.5,5281.809,-390.6,218.3
332,182.05,5301.296,-396,217.4
333,182.6,5320.341,-390.6,218.3
334,183.15,5339.041,-396.3,217.3
335,183.7,5358.3,-394.5,217.6
336,184.25,5377.271,-391.4,218.1
337,184.8,5397.244,-407.6,215.5
338,185.35,5419.297,-401.2,216.5
339,185.9,5441.759,-402.4,216.3
340,186.45,5462.486,-395,217.5
341,187,5483.554,-402.5,216.3
342,187.55,5505.312,-407.9,215.4
343,188.1,5528.154,-399.6,216.8
344,188.65,5548.994,-394.6,217.6
345,189.2,5567.914,-387.2,218.8
346,189.75,5586.492,-396.2,217.3
347,190.3,5606.294,-394,217.7
348,190.85,5625.928,-399.1,216.9
349,191.4,5645.956,-395.2,217.5
350,191.95,5665.678,-396,217.4
351,192.5,5685.76,-400.4,216.6
352,193.05,5705.844,-391.1,218.2
353,193.6,5725.564,-399.2,216.8
354,194.15,5745.263,-386.2,219
355,194.7,5764.035,-398.9,216.9
356,195.25,5783.149,-389,218.5
357,195.8,5801.663,-388.4,218.6
358,196.35,5820.458,-400.4,216.6
359,196.9,5839.274,-392.7,217.9
360,197.45,5857.825,-391,218.2
361,198,5876.713,-392.5,217.9
362,198.55,5896.115,-397.7,217.1
363,199.1,5916.514,-399.8,216.7
364,199.65,5936.72,-398.7,216.9
365,200.2,5958.378,-403.7,216.1
366,200.75,5980.031,-397.4,217.1
367,201.3,5999.476,-391.7,218.1
368,201.85,6018.945,-394.5,217.6
369,202.4,6038.733,-396.8,217.2
370,202.95,6058.818,-399.2,216.8
371,203.5,6079.269,-394,217.7
372,204.05,6098.723,-391.4,218.1
373,204.6,6118.461,-403.5,216.1
374,205.15,6138.343,-389.5,218.4
375,205.7,6158.061,-399.9,216.7
376,206.25,6178.139,-397.4,217.1
377,206.8,6198.542,-398.6,216.9
378,207.35,6218.59,-394.1,217.7
379,207.9,6239.261,-398.4,217
380,208.45,6259.763,-401.7,216.4
381,209,6280.476,-392.6,217.9
382,209.55,6300.342,-395.4,217.4
383,210.1,6319.849,-402.1,216.3
384,210.65,6341.096,-403.6,216.1
385,211.2,6362.943,-396.5,217.3
386,211.75,6384.196,-402.5,216.3
387,212.3,6405.572,-398.8,216.9
388,212.85,6426.706,-397,217.2
389,213.4,6445.656,-389.4,218.4
390,213.95,6464.951,-395,217.5
391,214.5,6485.799,-404.9,215.9
392,215.05,6507.348,-402.2,216.3
393,215.6,6528.572,-389.2,218.5
394,216.15,6548.256,-397,217.2
395,216.7,6567.575,-401.8,216.4
396,217.25,6589.1,-398.4,216.9
397,217.8,6610.998,-407.8,215.4
398,218.35,6632.398,-395.4,217.4
399,218.9,6654.114,-403.1,216.2
400,219.45,6675.613,-406.1,215.7
401,220,6696.223,-390.4,218.3
402,220.55,6717.217,-392.6,217.9
403,221.1,6737.232,-395.7,217.4
404,221.65,6756.85,-402.9,216.2
405,222.2,6777.976,-401.9,216.4
406,222.75,6800.074,-401.2,216.5
407,223.3,6821.476,-400.4,216.6
408,223.85,6842.567,-397.5,217.1
409,224.4,6863.65,-389.4,218.4
410,224.95,6882.303,-395.4,217.4
411,225.5,6900.514,-387.9,218.7
412,226.05,6919.705,-398.3,217
413,226.6,6940.131,-398.7,216.9
414,227.15,6960.178,-401.3,216.5
415,227.7,6981.003,-396.8,217.2
416,228.25,7001.862,-395.6,217.4
417,228.8,7022.629,-402.5,216.3
418,229.35,7043.986,-399.5,216.7
419,229.9,7065.288,-397.8,217
420,230.45,7086.444,-400.5,216.6
421,231,7107.219,-400.8,216.5
422,231.55,7128.452,-396.1,217.3
423,232.1,7149.687,-405.3,215.8
424,232.65,7172.653,-411.9,214.7
425,233.2,7197.088,-401.7,216.4
426,233.75,7219.957,-399.3,216.8
427,234.3,7241.901,-404.7,215.9
428,234.85,7263.706,-403.1,216.1
429,235.4,7286.294,-402.3,216.3
430,235.95,7308.123,-396.1,217.3
431,236.5,7327.17,-388.3,218.6
432,237.05,7346.564,-398.5,216.9
433,237.6,7368.109,-406.3,215.6
434,238.15,7390.416,-399.9,216.7
435,238.7,7412.495,-404.7,215.9
436,239.25,7435.148,-403.8,216
437,239.8,7457.3,-395,217.5
438,240.35,7478.614,-402.8,216.2
439,240.9,7499.581,-404.2,215.9
440,241.45,7521.442,-399.1,216.8
441,242,7543.294,-393.3,217.7
442,242.55,7563.298,-399.1,216.8
443,243.1,7582.571,-389.2,218.4
444,243.65,7602.029,-397.7,217
445,244.2,7621.172,-388.4,218.6
446,244.75,7640.308,-400.3,216.6
447,245.3,7661.42,-403.7,216
448,245.85,7683.428,-398.3,216.9
449,246.4,7704.087,-396.1,217.3
450,246.95,7723.785,-390.7,218.2
451,247.5,7743.395,-404.7,215.9
452,248.05,7765.226,-400.2,216.6
453,248.6,7787.057,-388.5,218.5
454,249.15,7806.7,-390.4,218.2
455,249.7,7825.636,-405.5,215.7
456,250.25,7846.01,-399.5,216.7
457,250.8,7868.053,-402.1,216.3
458,251.35,7889.915,-402.2,216.3
459,251.9,7910.917,-395.2,217.4
460,252.45,7931.912,-391.6,218
461,253,7951.993,-396.5,217.2
462,253.55,7971.929,-399.5,216.7
463,254.1,7992.713,-400.6,216.5
464,254.65,8014.495,-401.6,216.3
465,255.2,8036.476,-400.6,216.5
466,255.75,8059.149,-406.3,215.6
467,256.3,8081.878,-398.3,216.9
468,256.85,8105.279,-411.7,214.7
469,257.4,8128.643,-399.8,216.6
470,257.95,8149.741,-396.9,217.1
471,258.5,8170.839,-401.4,216.4
472,259.05,8193.481,-405.3,215.7
473,259.6,8216.665,-408.3,215.2
474,260.15,8240.224,-406.5,215.5
475,260.7,8263.984,-400.8,216.5
476,261.25,8286.65,-403.2,216.1
477,261.8,8308.546,-397.5,217
478,262.35,8330.382,-401,216.4
479,262.9,8352.133,-401.5,216.3
480,263.45,8373.885,-400.4,216.5
481,264,8395.654,-400.3,216.5
482,264.55,8417.416,-407.3,215.4
483,265.1,8440.775,-403,216.1
484,265.65,8464.215,-404.2,215.9
485,266.2,8486.604,-401.2,216.4
486,266.75,8508.848,-397.2,217
487,267.3,8529.921,-396.9,217.1
488,267.85,8550.515,-397.8,216.9
489,268.4,8571.916,-409.5,215
490,268.95,8594.592,-397.1,217.1
491,269.5,8616.572,-390.3,218.2
492,270.05,8636.364,-397.5,217
493,270.6,8656.156,-401.9,216.3
494,271.15,8676.666,-392.4,217.8
495,271.7,8697.32,-399.9,216.6
496,272.25,8718.178,-399.3,216.7
497,272.8,8739.234,-396.7,217.1
498,273.35,8760.521,-402.1,216.2
499,273.9,8782.645,-401.8,216.3
500,274.45,8804.723,-397.5,217
501,275,8825.771,-400.2,216.5
502,275.55,8846.82,-395,217.4
503,276.1,8868.483,-404.4,215.8
504,276.65,8890.352,-402.1,216.2
505,277.2,8911.578,-397.9,216.9
506,277.75,8932.276,-393.4,217.6
507,278.3,8952.951,-397.7,216.9
508,278.85,8973.557,-397.4,217
509,279.4,8994.151,-397.4,217
510,279.95,9014.738,-399,216.7
511,280.5,9035.325,-391.8,217.9
512,281.05,9055.576,-392.7,217.7
513,281.6,9075.583,-401.1,216.3
514,282.15,9095.704,-396.1,217.2
515,282.7,9116.334,-397.7,216.9
516,283.25,9136.964,-395.6,217.2
517,283.8,9157.478,-398.6,216.7
518,284.35,9177.966,-394.9,217.4
519,284.9,9198.86,-394.9,217.4
520,285.45,9220.104,-407.4,215.3
521,286,9241.38,-403.4,215.9
522,286.55,9262.73,-392.2,217.8
523,287.1,9283.995,-400.4,216.4
524,287.65,9303.779,-391.1,218
525,288.2,9323.562,-388.5,218.4
526,288.75,9343.245,-394.8,217.3
527,289.3,9362.87,-397.7,216.9
528,289.85,9382.67,-401.2,216.3
529,290.4,9403.109,-391.9,217.8
530,290.95,9423.548,-393.3,217.6
531,291.5,9443.281,-394.3,217.4
532,292.05,9462.91,-395,217.3
533,292.6,9482.432,-392.4,217.7
534,293.15,9501.828,-393.5,217.5
535,293.7,9521.216,-390,218.1
536,294.25,9539.378,nan,218.2
537,294.8,9557.529,-388.5,218.4
538,295.35,9576.697,-394.3,217.4
539,295.9,9597.31,-403.6,215.9
540,296.45,9617.873,-393.3,217.6
541,297,9638.001,-398,216.8
542,297.55,9658.117,-391,217.9
543,298.1,9677.29,-395.8,217.1
544,298.65,9696.102,-386.4,218.7
545,299.2,9715.084,-391.8,217.8
546,299.75,9734.715,-398.2,216.7
547,300.3,9754.333,-391.6,217.8
548,300.85,9772.984,-393.4,217.5
549,301.4,9791.381,-384.4,219
550,301.95,9809.781,-391.3,217.9
551,302.5,9828.199,-391,217.9
552,303.05,9846.604,-388.3,218.4
553,303.6,9864.468,-391.4,217.8
554,304.15,9882.042,-382.9,219.3
555,304.7,9899.614,-387.2,218.5
556,305.25,9919.782,-405.5,215.5
557,305.8,9939.991,-391.7,217.8
558,306.35,9959.943,-392.1,217.7
559,306.9,9979.749,-400.4,216.4
560,307.45,9999.3,-386.7,218.6
561,308,10018.16,-394.5,217.3
562,308.55,10037.01,-389.9,218.1
563,309.1,10056.38,-394.7,217.3
564,309.65,10075.91,-396.6,217
565,310.2,10095.23,-388.6,218.3
566,310.75,10114.15,-392.9,217.6
567,311.3,10133.06,-395.2,217.2
568,311.85,10151.77,-389.1,218.2
569,312.4,10170.45,-388.7,218.3
570,312.95,10189.08,-391.8,217.8
571,313.5,10207.63,-388.8,218.3
572,314.05,10226.17,-397.7,216.8
573,314.6,10244.61,-390.4,218
574,315.15,10263.03,-382.1,219.4
575,315.7,10281.36,-387.9,218.4
576,316.25,10299.41,-390.6,217.9
577,316.8,10317.44,-393.3,217.5
578,317.35,10335.81,-388.1,218.4
579,317.9,10354.35,-391.6,217.8
580,318.45,10373.17,-396.9,216.9
581,319,10393.66,-398.7,216.6
582,319.55,10414.13,-386.6,218.6
583,320.1,10432.72,-390.7,217.9
584,320.65,10450.89,-391.2,217.8
585,321.2,10469.49,-389.5,218.1
586,321.75,10489.25,-400.9,216.2
587,322.3,10508.99,-388.6,218.3
588,322.85,10528.44,-397.9,216.7
589,323.4,10547.85,-393,217.5
590,323.95,10567.66,-394.4,217.3
591,324.5,10587.91,-399.4,216.5
592,325.05,10607.69,-388.2,218.3
593,325.6,10625.24,-386.8,218.5
594,326.15,10642.79,-383,219.2
595,326.7,10660.25,-387.5,218.4
596,327.25,10677.63,-390.1,218
597,327.8,10695,-377.1,220.1
598,328.35,10712.87,-397.4,216.8
599,328.9,10730.86,-390.6,217.9
600,329.45,10749.26,-393.2,217.5
601,330,10768.78,-395.2,217.1
602,330.55,10788.29,-393.7,217.4
603,331.1,10807.53,-392.9,217.5
604,331.65,10826.74,-391.4,217.8
605,332.2,10845.53,-384.5,218.9
606,332.75,10863.82,-394.4,217.3
607,333.3,10882.1,-394.8,217.2
608,333.85,10902.03,-395.8,217
609,334.4,10922.1,-396.2,217
610,334.95,10941.96,-395.4,217.1
611,335.5,10961.68,-391.7,217.7
612,336.05,10981.06,-390.9,217.8
613,336.6,10999.35,-388,218.3
614,337.15,11017.64,-392.6,217.5
615,337.7,11037.14,-397.7,216.7
616,338.25,11057.12,-394.3,217.3
617,338.8,11076.54,-391.4,217.7
618,339.35,11094.99,-387.7,218.4
619,339.9,11113.43,-395.2,217.1
620,340.45,11133.8,-400.3,216.3
621,341,11154.43,-393.3,217.4
622,341.55,11173.84,-390,218
623,342.1,11192.46,-390.9,217.8
624,342.65,11211.04,-387.4,218.4
625,343.2,11229.33,-389.7,218
626,343.75,11247.62,-398,216.6
627,344.3,11266.98,-396.1,217
628,344.85,11286.99,-392,217.6
629,345.4,11307.21,-397.7,216.7
630,345.95,11327.94,-398.9,216.5
631,346.5,11348.46,-394.7,217.2
632,347.05,11366.75,-386.8,218.5
633,347.6,11385.03,-385.8,218.6
634,348.15,11403.05,-387.9,218.3
635,348.7,11420.86,-390.7,217.8
636,349.25,11438.66,-402,216
637,349.8,11458.97,-392.6,217.5
638,350.35,11479.32,-390.8,217.8
639,350.9,11497.97,-394.6,217.2
640,351.45,11515.88,-381,219.4
641,352,11533.87,-382.1,219.2
642,352.55,11552.26,-399.5,216.4
643,353.1,11570.64,-393.5,217.4
644,353.65,11590.17,-398.4,216.5
645,354.2,11610.21,-393.4,217.4
646,354.75,11629.47,-390.9,217.8
647,355.3,11647.41,-386.1,218.6
648,355.85,11665.35,-387.8,218.3
649,356.4,11682.49,-383.8,218.9
650,356.95,11699.46,-386.9,218.4
651,357.5,11716.89,-393,217.4
652,358.05,11736.43,-396.6,216.8
653,358.6,11755.96,-394.1,217.2
654,359.15,11775.73,-395.5,217
655,359.7,11795.52,-395.4,217
656,360.25,11814.94,-389.6,218
657,360.8,11834,-394.8,217.1
658,361.35,11853,-388.3,218.2
659,361.9,11871.56,-394.8,217.1
660,362.45,11890.1,-387.9,218.2
661,363,11908.9,-396.1,216.9
662,363.55,11927.82,-391.3,217.7
663,364.1,11946.65,-393.6,217.3
664,364.65,11965.2,-387.8,218.3
665,365.2,11983.74,-396.1,216.9
666,365.75,12004.76,-403.2,215.7
667,366.3,12026.32,-399.4,216.3
668,366.85,12047.92,-400.8,216.1
669,367.4,12069.53,-399.4,216.3
670,367.95,12091.15,-400.9,216.1
671,368.5,12112.76,-399.2,216.4
672,369.05,12134.95,-404.9,215.4
673,369.6,12157.84,-404,215.6
674,370.15,12180.18,-398.2,216.5
675,370.7,12201.78,-400,216.2
676,371.25,12223.64,-399.8,216.3
677,371.8,12246.06,-406.2,215.2
678,372.35,12268.74,-403.5,215.6
679,372.9,12292.12,-405.5,215.3
680,373.45,12316.33,-414.8,213.8
681,374,12342.4,-406.2,215.2
682,374.55,12367.59,-405.8,215.3
683,375.1,12391.95,-410.9,214.4
684,375.65,12415.97,-403.7,215.6
685,376.2,12439.79,-400.6,216.1
686,376.75,12463.55,-409.6,214.6
687,377.3,12487.29,-401.2,216
688,377.85,12511.99,-413.3,214
689,378.4,12536.99,-414.3,213.8
690,378.95,12563.36,-408.8,214.8
691,379.5,12589.96,-417.4,213.3
692,380.05,12617.15,-406.8,215.1
693,380.6,12643.06,-404.3,215.5
694,381.15,12667.44,-412.4,214.2
695,381.7,12693.26,-412.6,214.1
696,382.25,12720.11,-410.9,214.4
697,382.8,12748.27,-420.8,212.8
698,383.35,12776.93,-417.2,213.4
699,383.9,12806.51,-418.8,213.1
700,384.45,12835.74,-415.6,213.6
701,385,12864.74,-418.6,213.1
702,385.55,12893.23,-410.9,214.4
703,386.1,12921.18,-413.7,213.9
704,386.65,12948.35,-412.7,214.1
705,387.2,12976.72,-419.3,213
706,387.75,13005.67,-420.8,212.7
707,388.3,13035.36,-412.1,214.2
708,388.85,13064.09,-416,213.5
709,389.4,13091.92,-408.8,214.7
710,389.95,13118.71,-413.9,213.9
711,390.5,13145.6,-416.4,213.5
712,391.05,13174.67,-417.7,213.2
713,391.6,13203.45,-414.9,213.7
714,392.15,13231.96,-410.4,214.4
715,392.7,13258.74,-411.6,214.2
716,393.25,13285.52,-415,213.7
717,393.8,13314.27,-418.4,213.1
718,394.35,13343.15,-415.5,213.6
